Epoch [53/200], Step [20/25], disc_loss: 0.3381, gen_loss: 2.8522, D(x): 0.67, D (G(z)): 0.20
Epoch [54/200], Step [20/25], disc_loss: 0.5343, gen_loss: 1.0201, D(x): 0.49, D (G(z)): 0.27
Epoch [55/200], Step [20/25], disc_loss: 0.2987, gen_loss: 2.0033, D(x): 0.86, D (G(z)): 0.35
Epoch [56/200], Step [20/25], disc_loss: 0.3539, gen_loss: 1.9059, D(x): 0.67, D (G(z)): 0.24
Epoch [57/200], Step [20/25], disc_loss: 0.6400, gen_loss: 1.5406, D(x): 0.47, D (G(z)): 0.35
Epoch [58/200], Step [20/25], disc_loss: 0.4206, gen_loss: 1.9699, D(x): 0.61, D (G(z)): 0.28
Epoch [59/200], Step [20/25], disc_loss: 0.5758, gen_loss: 1.7764, D(x): 0.52, D (G(z)): 0.28
Epoch [60/200], Step [20/25], disc_loss: 0.7647, gen_loss: 1.6969, D(x): 0.34, D (G(z)): 0.32
Epoch [61/200], Step [20/25], disc_loss: 0.4886, gen_loss: 2.1342, D(x): 0.71, D (G(z)): 0.41
Epoch [62/200], Step [20/25], disc_loss: 0.2157, gen_loss: 2.3537, D(x): 0.94, D (G(z)): 0.30
Epoch [63/200], Step [20/25], disc_loss: 0.1778, gen_loss: 2.6688, D(x): 0.88, D (G(z)): 0.20
Epoch [64/200], Step [20/25], disc_loss: 0.7484, gen_loss: 1.6226, D(x): 0.36, D (G(z)): 0.34
Epoch [65/200], Step [20/25], disc_loss: 0.5103, gen_loss: 1.8631, D(x): 0.56, D (G(z)): 0.30
Epoch [66/200], Step [20/25], disc_loss: 0.3574, gen_loss: 1.9597, D(x): 0.66, D (G(z)): 0.20
Epoch [67/200], Step [20/25], disc_loss: 0.7021, gen_loss: 2.1734, D(x): 0.55, D (G(z)): 0.49
Epoch [68/200], Step [20/25], disc_loss: 0.1926, gen_loss: 1.6069, D(x): 0.89, D (G(z)): 0.23
Epoch [69/200], Step [20/25], disc_loss: 0.4636, gen_loss: 2.1838, D(x): 0.96, D (G(z)): 0.56
Epoch [70/200], Step [20/25], disc_loss: 0.6767, gen_loss: 3.3392, D(x): 0.33, D (G(z)): 0.10
Epoch [71/200], Step [20/25], disc_loss: 1.8104, gen_loss: 1.1058, D(x): 0.03, D (G(z)): 0.16
Epoch [72/200], Step [20/25], disc_loss: 0.2696, gen_loss: 2.4896, D(x): 0.82, D (G(z)): 0.27
Epoch [73/200], Step [20/25], disc_loss: 0.2648, gen_loss: 2.4051, D(x): 0.88, D (G(z)): 0.32
Epoch [74/200], Step [20/25], disc_loss: 0.5597, gen_loss: 2.5566, D(x): 0.40, D (G(z)): 0.06
Epoch [75/200], Step [20/25], disc_loss: 0.2586, gen_loss: 2.8927, D(x): 0.91, D (G(z)): 0.30
Epoch [76/200], Step [20/25], disc_loss: 0.2337, gen_loss: 2.1889, D(x): 0.79, D (G(z)): 0.18
Epoch [77/200], Step [20/25], disc_loss: 0.3658, gen_loss: 2.7755, D(x): 0.64, D (G(z)): 0.23
Epoch [78/200], Step [20/25], disc_loss: 0.2299, gen_loss: 3.4922, D(x): 0.88, D (G(z)): 0.27
Epoch [79/200], Step [20/25], disc_loss: 0.1900, gen_loss: 3.8099, D(x): 0.82, D (G(z)): 0.16
Epoch [80/200], Step [20/25], disc_loss: 0.1938, gen_loss: 2.3175, D(x): 0.86, D (G(z)): 0.21
Epoch [81/200], Step [20/25], disc_loss: 0.3224, gen_loss: 3.1302, D(x): 0.97, D (G(z)): 0.43
Epoch [82/200], Step [20/25], disc_loss: 0.3771, gen_loss: 2.5859, D(x): 0.58, D (G(z)): 0.14
Epoch [83/200], Step [20/25], disc_loss: 0.3136, gen_loss: 2.6037, D(x): 0.65, D (G(z)): 0.09
Epoch [84/200], Step [20/25], disc_loss: 0.2056, gen_loss: 2.0649, D(x): 0.85, D (G(z)): 0.20
Epoch [85/200], Step [20/25], disc_loss: 0.2410, gen_loss: 2.7810, D(x): 0.76, D (G(z)): 0.17
Epoch [86/200], Step [20/25], disc_loss: 0.4683, gen_loss: 2.2839, D(x): 0.73, D (G(z)): 0.45
Epoch [87/200], Step [20/25], disc_loss: 0.1818, gen_loss: 4.1763, D(x): 0.90, D (G(z)): 0.21
Epoch [88/200], Step [20/25], disc_loss: 0.7800, gen_loss: 1.7272, D(x): 0.24, D (G(z)): 0.04
Epoch [89/200], Step [20/25], disc_loss: 0.3688, gen_loss: 3.2032, D(x): 0.94, D (G(z)): 0.43
Epoch [90/200], Step [20/25], disc_loss: 0.3537, gen_loss: 1.0953, D(x): 0.58, D (G(z)): 0.05
Epoch [91/200], Step [20/25], disc_loss: 0.0375, gen_loss: 4.3770, D(x): 0.98, D (G(z)): 0.05
Epoch [92/200], Step [20/25], disc_loss: 0.2836, gen_loss: 3.0684, D(x): 0.80, D (G(z)): 0.26
Epoch [93/200], Step [20/25], disc_loss: 0.1471, gen_loss: 2.5278, D(x): 0.91, D (G(z)): 0.17
Epoch [94/200], Step [20/25], disc_loss: 0.2184, gen_loss: 4.2383, D(x): 0.83, D (G(z)): 0.21
Epoch [95/200], Step [20/25], disc_loss: 0.1579, gen_loss: 4.2525, D(x): 0.98, D (G(z)): 0.25
Epoch [96/200], Step [20/25], disc_loss: 0.0906, gen_loss: 3.4210, D(x): 0.96, D (G(z)): 0.13
Epoch [97/200], Step [20/25], disc_loss: 0.1921, gen_loss: 4.7437, D(x): 0.96, D (G(z)): 0.27
Epoch [98/200], Step [20/25], disc_loss: 0.4483, gen_loss: 3.4890, D(x): 0.88, D (G(z)): 0.50
Epoch [99/200], Step [20/25], disc_loss: 0.4974, gen_loss: 1.6150, D(x): 0.43, D (G(z)): 0.02
Epoch [100/200], Step [20/25], disc_loss: 0.2017, gen_loss: 3.3805, D(x): 0.98, D (G(z)): 0.31
Epoch [101/200], Step [20/25], disc_loss: 0.1290, gen_loss: 3.3977, D(x): 0.84, D (G(z)): 0.06
Epoch [102/200], Step [20/25], disc_loss: 0.1398, gen_loss: 3.3644, D(x): 0.89, D (G(z)): 0.15
Epoch [103/200], Step [20/25], disc_loss: 0.1559, gen_loss: 3.0294, D(x): 0.77, D (G(z)): 0.05
Epoch [104/200], Step [20/25], disc_loss: 0.4579, gen_loss: 2.8491, D(x): 0.79, D (G(z)): 0.45
Epoch [105/200], Step [20/25], disc_loss: 0.3766, gen_loss: 2.3108, D(x): 0.52, D (G(z)): 0.06
Epoch [106/200], Step [20/25], disc_loss: 0.3928, gen_loss: 3.4097, D(x): 0.76, D (G(z)): 0.32
Epoch [107/200], Step [20/25], disc_loss: 0.1496, gen_loss: 3.5423, D(x): 0.78, D (G(z)): 0.04
Epoch [108/200], Step [20/25], disc_loss: 0.3244, gen_loss: 4.3946, D(x): 0.99, D (G(z)): 0.41
Epoch [109/200], Step [20/25], disc_loss: 0.2003, gen_loss: 3.3539, D(x): 0.78, D (G(z)): 0.11
Epoch [110/200], Step [20/25], disc_loss: 0.1658, gen_loss: 1.6657, D(x): 0.75, D (G(z)): 0.03
Epoch [111/200], Step [20/25], disc_loss: 0.1918, gen_loss: 2.5834, D(x): 0.86, D (G(z)): 0.20
Epoch [112/200], Step [20/25], disc_loss: 0.0719, gen_loss: 3.7651, D(x): 0.97, D (G(z)): 0.11
Epoch [113/200], Step [20/25], disc_loss: 1.0667, gen_loss: 5.7796, D(x): 0.96, D (G(z)): 0.87
Epoch [114/200], Step [20/25], disc_loss: 0.2494, gen_loss: 3.1317, D(x): 0.75, D (G(z)): 0.17
Epoch [115/200], Step [20/25], disc_loss: 0.0950, gen_loss: 3.8987, D(x): 0.99, D (G(z)): 0.16
Epoch [116/200], Step [20/25], disc_loss: 0.0704, gen_loss: 4.8922, D(x): 0.92, D (G(z)): 0.05
Epoch [117/200], Step [20/25], disc_loss: 0.0377, gen_loss: 4.6804, D(x): 0.94, D (G(z)): 0.01
Epoch [118/200], Step [20/25], disc_loss: 0.5874, gen_loss: 2.0599, D(x): 0.53, D (G(z)): 0.26
Epoch [119/200], Step [20/25], disc_loss: 0.0784, gen_loss: 3.9003, D(x): 0.98, D (G(z)): 0.12
Epoch [120/200], Step [20/25], disc_loss: 0.0593, gen_loss: 6.6644, D(x): 0.90, D (G(z)): 0.01
Epoch [121/200], Step [20/25], disc_loss: 0.1204, gen_loss: 4.1244, D(x): 0.90, D (G(z)): 0.11
Epoch [122/200], Step [20/25], disc_loss: 0.2210, gen_loss: 4.4891, D(x): 0.90, D (G(z)): 0.23
Epoch [123/200], Step [20/25], disc_loss: 0.1067, gen_loss: 3.2741, D(x): 1.00, D (G(z)): 0.17
Epoch [124/200], Step [20/25], disc_loss: 0.4279, gen_loss: 6.3459, D(x): 0.99, D (G(z)): 0.56
Epoch [125/200], Step [20/25], disc_loss: 0.1624, gen_loss: 3.2938, D(x): 0.84, D (G(z)): 0.11
Epoch [126/200], Step [20/25], disc_loss: 0.0528, gen_loss: 3.6195, D(x): 0.98, D (G(z)): 0.07
Epoch [127/200], Step [20/25], disc_loss: 0.1151, gen_loss: 2.3403, D(x): 0.94, D (G(z)): 0.15
Epoch [128/200], Step [20/25], disc_loss: 0.0400, gen_loss: 2.9822, D(x): 0.98, D (G(z)): 0.05
Epoch [129/200], Step [20/25], disc_loss: 0.0275, gen_loss: 4.9176, D(x): 0.97, D (G(z)): 0.02
Epoch [130/200], Step [20/25], disc_loss: 0.1156, gen_loss: 3.6969, D(x): 0.83, D (G(z)): 0.04
Epoch [131/200], Step [20/25], disc_loss: 0.0919, gen_loss: 1.8558, D(x): 0.96, D (G(z)): 0.13
Epoch [132/200], Step [20/25], disc_loss: 0.0779, gen_loss: 4.6151, D(x): 0.95, D (G(z)): 0.09
Epoch [133/200], Step [20/25], disc_loss: 0.5025, gen_loss: 2.8435, D(x): 0.54, D (G(z)): 0.00
Epoch [134/200], Step [20/25], disc_loss: 0.4917, gen_loss: 1.4982, D(x): 0.50, D (G(z)): 0.08
Epoch [135/200], Step [20/25], disc_loss: 0.1058, gen_loss: 5.8427, D(x): 0.82, D (G(z)): 0.01
Epoch [136/200], Step [20/25], disc_loss: 0.2101, gen_loss: 2.7439, D(x): 0.74, D (G(z)): 0.06
Epoch [137/200], Step [20/25], disc_loss: 0.0372, gen_loss: 2.1758, D(x): 0.97, D (G(z)): 0.04
Epoch [138/200], Step [20/25], disc_loss: 0.0996, gen_loss: 3.5279, D(x): 0.99, D (G(z)): 0.17
Epoch [139/200], Step [20/25], disc_loss: 0.0721, gen_loss: 2.2821, D(x): 0.95, D (G(z)): 0.09
Epoch [140/200], Step [20/25], disc_loss: 0.0538, gen_loss: 4.5711, D(x): 0.92, D (G(z)): 0.02
Epoch [141/200], Step [20/25], disc_loss: 0.0811, gen_loss: 3.4639, D(x): 0.92, D (G(z)): 0.07
Epoch [142/200], Step [20/25], disc_loss: 0.2207, gen_loss: 2.4407, D(x): 0.77, D (G(z)): 0.11
Epoch [143/200], Step [20/25], disc_loss: 0.0564, gen_loss: 3.0733, D(x): 1.00, D (G(z)): 0.11
Epoch [144/200], Step [20/25], disc_loss: 0.0050, gen_loss: 5.8695, D(x): 1.00, D (G(z)): 0.01
Epoch [145/200], Step [20/25], disc_loss: 0.0998, gen_loss: 3.5781, D(x): 0.92, D (G(z)): 0.10
Epoch [146/200], Step [20/25], disc_loss: 0.9988, gen_loss: 4.8685, D(x): 0.23, D (G(z)): 0.00
Epoch [147/200], Step [20/25], disc_loss: 0.0168, gen_loss: 4.5400, D(x): 0.99, D (G(z)): 0.02
Epoch [148/200], Step [20/25], disc_loss: 0.0094, gen_loss: 2.9391, D(x): 0.99, D (G(z)): 0.01
Epoch [149/200], Step [20/25], disc_loss: 0.2448, gen_loss: 4.2058, D(x): 0.78, D (G(z)): 0.11
Epoch [150/200], Step [20/25], disc_loss: 0.0894, gen_loss: 3.4043, D(x): 0.91, D (G(z)): 0.07
Epoch [151/200], Step [20/25], disc_loss: 0.0585, gen_loss: 3.4672, D(x): 0.92, D (G(z)): 0.04
Epoch [152/200], Step [20/25], disc_loss: 0.0384, gen_loss: 6.0133, D(x): 0.94, D (G(z)): 0.01
Epoch [153/200], Step [20/25], disc_loss: 0.7626, gen_loss: 3.6095, D(x): 0.55, D (G(z)): 0.25
Epoch [154/200], Step [20/25], disc_loss: 0.6713, gen_loss: 5.2274, D(x): 0.29, D (G(z)): 0.00
Epoch [155/200], Step [20/25], disc_loss: 0.1465, gen_loss: 4.8008, D(x): 0.99, D (G(z)): 0.24
Epoch [156/200], Step [20/25], disc_loss: 0.1103, gen_loss: 4.5253, D(x): 0.98, D (G(z)): 0.18
Epoch [157/200], Step [20/25], disc_loss: 0.2425, gen_loss: 4.4246, D(x): 0.71, D (G(z)): 0.01
Epoch [158/200], Step [20/25], disc_loss: 0.6693, gen_loss: 7.7396, D(x): 0.55, D (G(z)): 0.00
Epoch [159/200], Step [20/25], disc_loss: 0.1483, gen_loss: 2.7348, D(x): 0.81, D (G(z)): 0.07
Epoch [160/200], Step [20/25], disc_loss: 0.3395, gen_loss: 7.0523, D(x): 0.56, D (G(z)): 0.00
Epoch [161/200], Step [20/25], disc_loss: 0.0206, gen_loss: 3.1499, D(x): 0.98, D (G(z)): 0.02
Epoch [162/200], Step [20/25], disc_loss: 0.0551, gen_loss: 4.4196, D(x): 0.91, D (G(z)): 0.02
Epoch [163/200], Step [20/25], disc_loss: 0.0196, gen_loss: 3.8128, D(x): 1.00, D (G(z)): 0.04
Epoch [164/200], Step [20/25], disc_loss: 0.0368, gen_loss: 3.1586, D(x): 1.00, D (G(z)): 0.07
Epoch [165/200], Step [20/25], disc_loss: 0.0211, gen_loss: 10.1792, D(x): 0.96, D (G(z)): 0.00
Epoch [166/200], Step [20/25], disc_loss: 0.2190, gen_loss: 4.0692, D(x): 0.72, D (G(z)): 0.03
Epoch [167/200], Step [20/25], disc_loss: 0.1119, gen_loss: 7.2541, D(x): 1.00, D (G(z)): 0.20
Epoch [168/200], Step [20/25], disc_loss: 0.0059, gen_loss: 5.5063, D(x): 1.00, D (G(z)): 0.01
Epoch [169/200], Step [20/25], disc_loss: 0.0171, gen_loss: 6.6112, D(x): 0.99, D (G(z)): 0.02
Epoch [170/200], Step [20/25], disc_loss: 0.0658, gen_loss: 6.2399, D(x): 0.97, D (G(z)): 0.10
Epoch [171/200], Step [20/25], disc_loss: 0.0222, gen_loss: 5.3178, D(x): 0.97, D (G(z)): 0.02
